,League,Sport,Country(ies),Season,Level on Pyramid,Teams,Matches / Games / Events,Revenue (M Euro),Revenue p/Team,Revenue p/Match (thousands),run_datetime
66,Ligue Nationale de Basket Pro A (LNB Pro A),Basketball,['France'],2018–19,1,18,326.0,96.3,5.3,295.0,2023-Feb-16-19:21-08
67,Egyptian Premier League,Association football,['Egypt'],–,1,20,306.0,95.0,4.7,310.0,2023-Feb-16-19:21-08
68,Super Rugby,Rugby union football,"['Australia', 'New Zealand']",2018,1 (Int.),15,127.0,94.0,7.0,740.0,2023-Feb-16-19:21-08
69,Nemzeti Bajnokság I,Association football,['Hungary'],2016–17,1,12,198.0,89.0,7.4,449.0,2023-Feb-16-19:21-08
70,Ukrainian Premier League (UPL),Association football,['Ukraine'],2016–17,1,14,186.0,89.0,6.4,478.0,2023-Feb-16-19:21-08
71,EuroLeague,Basketball,['Europe'],2021-22,1 (Int.),18,283.0,87.0,4.83,307.0,2023-Feb-16-19:21-08
72,Czech First League,Association football,['Czech Republic'],2016–17,1,16,240.0,74.0,4.6,308.0,2023-Feb-16-19:21-08
73,Mexican Pacific League (Liga Mexicana del Pacífico; LMP),Baseball,['Mexico'],2012–13,1,8,306.0,72.0,9.0,235.0,2023-Feb-16-19:21-08
74,Liga I,Association football,['Romania'],2016–17,1,14,268.0,71.0,5.1,265.0,2023-Feb-16-19:21-08
75,Indian Super League (ISL),Association football,['India'],2018-19,1,11,117.0,65.0,6.5,684.0,2023-Feb-16-19:21-08
76,A-League,Association football,"['Australia', 'New Zealand']",2017–18,1,10,140.0,63.0,6.3,450.0,2023-Feb-16-19:21-08
77,Eerste Divisie,Association football,['Netherlands'],2014–15,2,20,380.0,61.0,3.1,161.0,2023-Feb-16-19:21-08
78,Super League,Rugby league football,"['England', 'France[aa]']",2015,1,12,195.0,60.0,5.0,308.0,2023-Feb-16-19:21-08
79,Cypriot First Division,Association football,['Cyprus'],2016–17,1,14,242.0,60.0,4.3,248.0,2023-Feb-16-19:21-08
80,Women's National Basketball Association (WNBA),Basketball,['United States'],2019,1,12,220.0,53.8,4.5,245.0,2023-Feb-16-19:21-08
81,Bangladesh Premier League,Twenty20 cricket,['Bangladesh'],2016–17,1,7,46.0,53.5,7.6,1164.0,2023-Feb-16-19:21-08
82,Croatian First Football League (1. HNL),Association football,['Croatia'],2016–17,1,10,180.0,42.0,4.2,233.0,2023-Feb-16-19:21-08
83,Vyšejšaja Liha (Belarusian Premier League),Association football,['Belarus'],2017,1,16,223.0,41.0,2.6,184.0,2023-Feb-16-19:21-08
84,First Professional Football League (Bulgarian First League),Association football,['Bulgaria'],2016–17,1,10,240.0,40.0,4.0,167.0,2023-Feb-16-19:21-08
85,LNB Pro B,Basketball,['France'],2018-19,2,18,323.0,38.5,2.1,119.0,2023-Feb-16-19:21-08
86,J3 League,Association football,['Japan'],2015,3,12,234.0,35.0,2.9,150.0,2023-Feb-16-19:21-08
87,UAE Pro League,Association football,['United Arab Emirates'],2013–14,1,14,182.0,34.7,2.5,191.0,2023-Feb-16-19:21-08
88,Azerbaijan Premier League,Association football,['Azerbaijan'],2016–17,1,10,112.0,34.0,3.4,303.0,2023-Feb-16-19:21-08
89,Serbian SuperLiga,Association football,['Serbia'],2016–17,1,16,296.0,32.0,2.0,108.0,2023-Feb-16-19:21-08
90,Slovak Super Liga,Association football,['Slovakia'],2016–17,1,12,165.0,32.0,2.7,194.0,2023-Feb-16-19:21-08
91,Persian Gulf Pro League,Association football,['Iran'],2015–16,1,16,240.0,29.0,1.8,121.0,2023-Feb-16-19:21-08
92,United Rugby Championship,Rugby union football,"['Ireland', 'Italy', 'Scotland', 'South Africa', 'Wales']",2017–18,1 (Int.),14,153.0,26.9,1.9,176.0,2023-Feb-16-19:21-08
93,Primera Categoría Serie A (Ecuadorian Serie A),Association football,['Ecuador'],2018,1,12,266.0,25.0,2.1,94.0,2023-Feb-16-19:21-08
94,Veikkausliiga,Association football,['Finland'],2017,1,12,198.0,25.0,2.1,126.0,2023-Feb-16-19:21-08
95,Mexican Baseball League (Liga Mexicana de Béisbol; LMB),Baseball,['Mexico'],2016,1,16,923.0,23.0,1.5,25.0,2023-Feb-16-19:21-08
96,Russian Volleyball Super League (RVSL),Volleyball,['Russia'],2017,1,14,201.0,21.9,1.6,109.0,2023-Feb-16-19:21-08
97,Women's Premier League (cricket) (WPL),Twenty20 cricket,['India'],2023,1,5,23.0,21.4,4.3,930.0,2023-Feb-16-19:21-08
98,USL Championship (USL),Association football,['United States'],2018,2,33,561.0,21.0,0.64,37.5,2023-Feb-16-19:21-08
99,Israeli Basketball Premier League (ISBL),Basketball,['Israel'],2018–19,1,12,215.0,20.0,1.7,93.0,2023-Feb-16-19:21-08
